route_id,onestop_id,route_short_name,route_long_name,route_type,route_color,agency_name,agency_onestop_id,feed_version_id,feed_onestop_id
BF1,r-u0nkbh-bf1,BF1,Vellone - Sacro Monte,7,07624A,Azienda Varesina Trasporti,o-u0nkbh2-aziendavaresinatrasporti,142,f-u0nkbh2-aziendavaresinatrasporti
CKVIE,r-u2e-ceskykrumlovtovienna,,Cesky Krumlov to Vienna,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
VIECK,r-u2e-viennatoceskykrumlov,,Vienna to Cesky Krumlov,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
CKSLZ,r-u29-ceskykrumlovtosalzburg,,Cesky Krumlov to Salzburg,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
SLZCK,r-u29-salzburgtoceskykrumlov,,Salzburg to Cesky Krumlov,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
CKHAL,r-u29-ceskykrumlovtohallstatt,,Cesky Krumlov to Hallstatt,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
HALCK,r-u29-hallstatttoceskykrumlov,,Hallstatt to Cesky Krumlov,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
CKLNZ,r-u2d-ceskykrumlovtolinz,,Cesky Krumlov to Linz,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
LNZCK,r-u2d-linztoceskykrumlov,,Linz to Cesky Krumlov,3,,Bean Shuttle,o-u2d-beanshuttle,545,f-u2d-beanshuttle
12862380,r-75cnn-940,940,Ramos (Praia) - Madureira,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860029,r-75cjz-673,673,Lucas - Méier (via Del Castilho) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866507,r-75cm8-405,405,Ramos - Cosme Velho,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862336,r-75cm9-006,006,Santa Teresa - Castelo (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12869719,r-75cj-2115,2115,Pechincha - Castelo (via Itanhangá),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861311,r-75cq-323,323,Bananal - Castelo (via Cacuia) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861068,r-75cm2-432,432,Vila Isabel - Gávea (via Túnel Santa Bárbara),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864183,r-75cjx-609,609,São Francisco Xavier - Méier,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860338,r-75cn-374,374,Pavuna - Praça XV (via Costa Barros),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862170,r-75cj-744,744,Realengo - Cascadura (via Jardim Novo) (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865820,r-75cn-2295,2295,Pavuna - Castelo,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864130,r-75cj-2333,2333,Recreio - Castelo (via Av. das Américas),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861256,r-75cj-313,313,Penha (Grotão) - Praça Tiradentes (via Vila Cruzeiro) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860099,r-75cjx-608,608,Grajaú - Praça Saens Peña,3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861220,r-75cjt-766,766,Madureira - Freguesia,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860362,r-75cj-2337,2337,Santa Cruz - Castelo (via Sepetiba),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863126,r-75cj-790,790,Campo Grande - Cascadura,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863358,r-75cj-2114,2114,Freguesia - Castelo,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861348,r-75cq-328,328,Bananal - Castelo (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861373,r-75cm-497,497,Penha - Cosme Velho,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861428,r-75bv-840,840,São Fernando - Campo Grande (via Av. João XXIII),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862180,r-75cj-363,363,Vila Valqueire - Praça XV,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861432,r-75cn-919,919,Pavuna - Bonsucesso (Parque União),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866445,r-75cm2-461,461,São Cristóvão - Ipanema (via Túnel Rebouças) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861436,r-75cj-2331,2331,Santa Cruz - Castelo (via Praça Mauá),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864867,r-75cjc-767,767,Campo Grande - Guadalupe (via Vila Kennedy),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12868634,r-75cj-396,396,Bairro Jabour - Carioca,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866581,r-75cj-601,601,Taquara - Saens Peña (via Av. Menezes Cortes),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864977,r-75cj-352,352,Rio Centro - Castelo (via Autódromo/Linha Amarela),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862202,r-75cjz-625,625,Olaria - Saens Peña (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862423,r-75cm2-435,435,Grajaú - Gávea (via Túnel Santa Bárbara),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860271,r-75cjt-734,734,Rio das Pedras - Madureira (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866621,r-75cjg-743,743,Barata - Bangu (via Estrada da Água Branca) (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866637,r-75cm-413,413,Muda - Jardim de Alah (via Aterro do Flamengo),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862210,r-75cm8-133,133,Rodoviária - Largo do Machado (via Estácio),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860398,r-75cj-393,393,Bangu - Castelo,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860083,r-75cj-386,386,Anchieta - Passeio (via Mariópolis),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863184,r-75cj-388,388,Santa Cruz - Carioca (via Av. Brasil) (Expresso),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
13453901,r-75bvq-885,885,Piraquê - Santa Cruz (via Pedra de Guaratiba),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861385,r-75cjx-627,627,Inhaúma - Saens Peña,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861424,r-75cj-769,769,Jardim Violeta - Madureira (via Bangu) (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865778,r-75cj4-817,817,Vargem Grande - Recreio (via Av. Glaucio Gil/Estrada do Rio Morto) (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864126,r-75cjx-604,604,Usina - Praça Saens Peña (via R. Conde de Bonfim),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866543,r-75cq3-935,935,Ribeira - Portuguesa (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861270,r-75cjz-663,663,Méier - Fundão (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864122,r-75cj-292,292,Engenho da Rainha - Praça XV,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862102,r-75cj-2335,2335,Santa Cruz - Castelo (via Barra da Tijuca),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866493,r-75cj-341,341,Taquara - Candelária,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863080,r-75cm9-007,007,Silvestre - Central (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860279,r-75cm-439,439,Vila Isabel - Leblon (via Túnel Rebouças/Jóquei) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862340,r-75bvx-893,893,Jardim Palmares - Campo Grande (via 29 de Março),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860382,r-75cj-394,394,Vila Kennedy - Tiradentes,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864057,r-75cj-337,337,Curicica - Estacio (via Linha Amarela),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
13386970,r-75cj-brt,BRT,Santa Cruz - Alvorada,3,000080,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862263,r-75cm2-436,436,Grajaú - Leblon (via Túnel Rebouças) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860318,r-75cj-2251,2251,Engenho de Dentro - Castelo (Expresso),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862432,r-75cm8-626,626,Muda - Praça Saens Peña,3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863088,r-75cm8-410,410,Saens Peña - Gávea,3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860239,r-75cj-2329,2329,Recreio - Castelo (via Av. Sernambetiba),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863265,r-75cnj-778,778,Pavuna - Cascadura (via Estrada de Botafogo) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12867892,r-75cq-2344,2344,Bancários - Castelo,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863104,r-75cjm-886,886,Freguesia - Barra da Tijuca (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862206,r-75bv-849,849,Base Aérea de Santa Cruz - Campo Grande,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862271,r-75cjj-862,862,Rio das Pedras - Barra da Tijuca (via Estrada de Jacarepaguá) (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864035,r-75cm8-507,507,Largo do Machado - Silvestre,3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861377,r-75cj-380,380,Curicica - Praça XV (via Linha Amarela/Estrada do Pau Ferro),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860129,r-75cj-615,615,Del Castilho - Pavuna (via Norte Shopping) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862255,r-75cjj-863,863,Rio das Pedras - Barra da Tijuca (via Av. Ayrton Senna) (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863203,r-75cq-2343,2343,Ribeira - Castelo (via Linha Vermelha),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862237,r-75cjf-811,811,Vila Kennedy - Bangu (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866612,r-75cj-759,759,Cesarão - Coelho Neto,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861168,r-75bvx-842,842,Paciência - Campo Grande (via Santa Margarida),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12869113,r-75cjm-700,700,Madureira - Ponte de Marapendi (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861282,r-75cq-696,696,Praia do Dendê - Méier,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865043,r-75cm-442,442,Maré - Copacabana (via Praça Mauá) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864845,r-75cj-239,239,Água Santa - Castelo (via R. Vinte e Quatro de Maio) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864160,r-75cjb-830,830,Campo Grande - Distrito Industrial (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861365,r-75cm8-440,440,Caju - Copacabana (via Túnel Rebouças/Túnel Velho) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12869211,r-75cj-2381,2381,Pedra de Guaratiba - Castelo (via Av. Brasil),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863269,r-75cj-636,636,Gardênia Azul - Saens Peña,3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862162,r-75cjy-667,667,Madureira - Méier (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864235,r-75cn-376,376,Pavuna - Praça XV (via R. Mercúrio) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864938,r-75cq3-934,934,Ribeira - Portuguesa (via Cocotá) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862391,r-75cj9-894,894,Campo Grande - Santa Rita (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864815,r-75cj-639,639,Jardim América - Saens Peña (via Rocha Miranda),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862090,r-75cj-687,687,Pavuna - Méier,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865860,r-75cj8-851,851,Campo Grande  - Escola Amazonas (via Augusto Vasconcelos) (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860079,r-75cj-2336,2336,Campo Grande - Castelo (via Av. Brasil),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866501,r-75cnj-725,725,Ricardo de Albuquerque - Cascadura (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863168,r-75cjf-812,812,Carobinha - Bangu,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860326,r-75cn-905,905,Bonsucesso - Irajá,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862247,r-75cq-322,322,Ribeira - Castelo (via Cocotá) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866661,r-75cj-784,784,Vila Kennedy - Marechal Hermes,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863997,r-75cjz-621,621,Penha - Saens Peña (via Mangueira) (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863318,r-75cjf-814,814,Rio da Prata - Bangu (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865663,r-75cj8-834,834,Largo do Correia - Campo Grande (via Estrada do Monteiro),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
13469525,r-75cj-2346,2346,Vila Valqueire - Castelo (via Marechal Hermes),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864839,r-75cn-399,399,Pavuna - Castelo (via Av. Pres. Vargas/R. Alcobaça),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860386,r-75cj-2302,2302,Mariópolis - Castelo,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863070,r-75cjx-602,602,Andaraí - Saens Peña (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863354,r-75cj-2111,2111,Praça Seca - Castelo (via Av. Menezes Cortes),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865840,r-75cm3-2015,2015,Leblon - Castelo (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864228,r-75cj-392,392,Bangu - Carioca (via Padre Miguel),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12867349,r-75cj4-827,827,Vargem Grande - Recreio (via Estrada Benvindo de Novaes/Av. Glaucio Gil) (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863273,r-75cj-926,926,Senador Camará - Penha,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861128,r-75cq0-901,901,Bonsucesso - Bananal (via Jardim Guanabara),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865758,r-75cj-2334,2334,Campo Grande - Castelo,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861240,r-75cnm-944,944,Pavuna - Conjunto Engenheiro Rubens Paiva (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862350,r-75cjj-805,805,Alvorada - Jardim Oceânico (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865713,r-75cm-2017,2017,Rodoviária - Leblon (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863136,r-75cm-455,455,Méier - Copacabana (via Parque do Flamengo),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866566,r-75cm8-226,226,Grajaú - Carioca (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864147,r-75cjy-712,712,Cascadura - Irajá (Circular),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865828,r-75cj-181,181,Rodoviária - São Conrado (via Linha Amarela),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12867964,r-75cj-348,348,Rio Centro - Castelo (via Linha Amarela),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12861327,r-75cj-684,684,Padre Miguel - Méier,3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12864899,r-75cm8-209,209,Estácio - Caju (via São Cristóvão) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862395,r-75cm-476,476,Méier - Leblon (via Túnel Rebouças) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860300,r-75cj-306,306,Praça Seca - Castelo (via Av. Menezes Cortes),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12866547,r-75cm9-472,472,Triagem - Leme (via Túnel Velho),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862198,r-75cj-624,624,Mariópolis - Praça da Bandeira,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863322,r-75cj8v-837,837,Campo Grande - Conjunto da Marinha (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860185,r-75cm2-110,110,Rodoviária - Jardim de Alah (via Túnel Rebouças) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865739,r-75cm3-2014,2014,Gávea - Praça Mauá,3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865880,r-75cm2-426,426,Usina - Jardim de Alah (via Túnel Santa Bárbara),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12867190,r-75cm-444,444,Maré - Copacabana (via Túnel Santa Bárbara) (Circular),3,D8B511,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12865078,r-75cq0-925,925,Aeroporto Internacional do RJ (AIRJ) - Bancários (Circular),3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862124,r-75cjx-606,606,Rodoviária - Engenho de Dentro,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12862128,r-75cjy-685,685,Irajá - Méier,3,BAD80A,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12863979,r-75cjg-819,819,Jardim Bangu - Bangu (Circular),3,D62828,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
12860394,r-75cj-339,339,Rodoviária - Cidade de Deus (via Linha Amarela),3,607C8C,Fetranspor,o-75cj-fetranspor,886,f-75cj-fetranspor
